line;display_name;contains;info
prednisolon acetat prednisolon 5mg;Prednisolon 5mg;prednisolon acetat ;"Prednisolon là một glucocorticoid bán tổng hợp cũng có tác dụng chống di ứng, chống viêm và ức chế miễn dịch giống như các glucocorticoid khác.
Cơ chế tác dụng của Prednisolon
Prednisolone có tác dụng chống viêm thông qua cơ chế ức chế tổng hợp phospholipase A2 từ đó làm giảm sản xuất các chất trung gian hóa học tham gia vào phản ứng viêm như: leucotrien, prostagrandin. Ngoài ra tác dụng chống viêm của prednisolone còn thông qua việc ức chế bạch cầu di chuyển về ổ viêm. Vì vậy prednisolone có tác dụng chống viêm.
Prednisolone có tác dụng chống dị ứng thông qua cơ chế ức chế phospholipase C. bình thường khi gặp phải các dị nguyên, các chất gây dị ứng thì IgE sẽ hoạt hóa các thụ thể trên các dưỡng bào và base trung tính từ đó sẽ hoạt hóa phospholipase C, sự hoạt hóa này sẽ tăng cường giải phóng các chất trung gian hóa học tham gia vào các phản ứng dị ứng điển hình như histamin từ bào tương của tế bào. Như vậy khi ức chế phospholipase C sẽ ức chế sự giải phóng các chất trung gian hoá học tham gia vào phản ứng dị ứng từ đó làm giảm các triệu chứng của dị ứng.
Prednisolone có tác dụng ức chế miễn dịch nhờ vào làm giảm sản xuất tế bào lympho do  prednisolone làm teo các cơ quan lympho đồng thời làm giảm khả năng nhận diện kháng nguyên của đại thực bào, ức chế sản xuất kháng thể để vô hiệu hóa các yếu tố lạ."
Desloratadin Neocilor tablet 5mg;Neocilor tablet ;Desloratadin 5mg;"Viêm mũi dị ứng theo mùa:
Neocilor siro được chỉ định để giảm các triệu chứng liên quan đến mũi hoặc không liên quan đến mũi của bệnh viêm mũi dị ứng theo mùa.
Viêm mũi đị ứng quanh năm:
Neocilor siro được chỉ định để giảm nhẹ các triệu chứng liên quan đến mũi hoặc không liên quan đến mũi của bệnh viêm mũi dị ứng quanh năm.
Bệnh mày đay mãn tính tự phát:
Neocilor siro được chỉ định để giảm triệu chứng ngứa, giảm số lượng phát ban ngoài da.
"
paracetamol acetaminophen bivinadol power 650mg;acetaminophen;paracetamol;"Thuốc Acetaminophen được sử dụng phổ biến trong các trường hợp giảm đau từ nhẹ đến trung bình. Thuốc phù hợp điều trị các cơn đau đầu, đau bụng do kỳ kinh nguyệt, đau răng, đau lưng, viêm xương khớp hoặc đau nhức do cảm lạnh / cảm cúm và hạ sốt.
Thuốc Acetaminophen không gây loét dạ dày và ruột như giống thuốc NSAID (aspirin, ibuprofen và naproxen). Tuy nhiên, thuốc này cũng không có tác dụng làm giảm sưng (viêm) như NSAID."
paracetamol acetaminophen bivinadol power 650mg;bivinadol power 650mg;paracetamol;"Bivinadol có tác dụng làm giảm nhanh các triệu chứng đau cấp tính và mạn tính như đau đầu, đau răng, đau bụng kinh, đau thần kinh, đau khớp và đau cơ. Thuốc Bivinadol cũng có tác dụng giúp hạ sốt ở bệnh nhân bị cảm hay những bệnh nhân gặp các vấn đề liên quan đến sốt.
Một số tác dụng khác của thuốc không được liệt kê trên nhãn thuốc đã được phê duyệt, bác sĩ có thể chỉ định bạn dùng. Bạn chỉ sử dụng thuốc này để điều trị một số bệnh lý khác khi có chỉ định của bác sĩ"
Pantoprazol pantotab 40mg;"PANTOTAB 40mg
";pantoprazol;Pantoprazole là dược chất thuộc nhóm thế benzimidazol, thuốc ngăn chặn giai đoạn cuôi của quá trình tiết acid ở dạ dày bằng cách ức chế lên men H+K+ATPASE của bơm proton ngay tại tế bào viền tiết acid của niêm mạc dạ dày, làm ức chế cả hai quá trình tiết acid tự nhiên lẫn quá trình tiết acid do kích thích.
cebastin 20mg ebastin;cebastin 20mg ;ebastin ;"Ebastine được sử dụng để điều trị các bệnh dị ứng. Đây là thuốc kháng histamine thế hệ 2 thường được dùng để trị viêm mũi dị ứng theo mùa hoặc mãn tính. Ebastine khó vượt qua hàng rào máu não, do đó chỉ hoạt động trên thụ thể histamine trên cơ thể bạn.  Điều này giúp loại bỏ sự buồn ngủ và khó chịu, hai tác dụng phụ thường gặp của thuốc kháng histamin cũ. Khi uống Ebastine, bạn sẽ cảm thấy dễ chịu, bạn có thể uống thuốc trong khi lái xe, vận hành máy móc.
"
Cetirizin (Cetirizin 10mg);cetirizin 10mg;cetirizin 10mg;"Cetirizine là một thuốc nhóm kháng histamine nên có khả năng ức chế hoạt động của histamine gây dị ứng. Nếu bạn bị dị ứng quanh năm hoặc dị ứng theo mùa như sốt cỏ khô, bác sĩ có thể chỉ định cho bạn sử dụng cetirizine. Tuy không có khả năng ngăn ngừa, thuốc sẽ giúp làm giảm các triệu chứng dị ứng từ nhẹ đến vừa như:
Hắt hơi
Sổ mũi
Ngứa hoặc chảy nước mắt
Ngứa cổ họng hoặc mũi
Ngoài ra, cetirizine cũng giúp giảm tình trạng nổi mề đay do dị ứng thức ăn hoặc thuốc. Tình trạng này có thể biểu hiện bởi những nốt mẩn ngứa nổi trên da. Không những vậy, cetirizine có thể được sử dụng để điều trị tình trạng cảm lạnh, phù mạch, phản ứng phản vệ, ngứa, viêm kết mạc dị ứng.
Thuốc Cetirizine có thể được kê cho các mục đích sử dụng khác. Bạn nên tham khảo bác sĩ hoặc dược sĩ để biết thêm thông tin."
Vitamin C (Vitamin C 500mg) ;Vitamin C ;Vitamin C 500mg;Thiếu vitamin C: Uống vitamin C bằng đường uống hoặc đường tiêm sẽ giúp ngăn ngừa và điều trị thiếu vitamin C, bao gồm cả bệnh scurvy. Ngoài ra, uống vitamin C có thể đảo ngược các vấn đề liên quan đến bệnh scurvy.
lean max 900gr;LEAN MAX_L 900gr;lean max l 900gr;Sữa Lean Max Adult là sản phẩm giúp phục hồi nhanh chóng dành cho, người bệnh, người cao tuổi, tiêu hóa kém,khó nhai nuốt và trẻ em trên 10 tuổi, giúp tăng cường hệ miễn dịch, nhanh khỏi bệnh, nhanh liền da, người suy nhược cơ thể, người cần phục hồi dinh dưỡng, người cần bổ sung năng lượng và cần tăng cân, phụ nữ có thai và cho con bú.
Protease, amylase, lipase, lactase enzymes IP;6 enzymes IP;Protease, amylase, lipase, lactase;"Phòng ngừa biếng ăn, cải thiện tiêu hóa, đầy bụng, khó tiêu, táo bón.
Bổ sung hỗn hợp 6 enzymes (men tiêu hóa), protease, pepsin, amylase, lipase, lactase, cellulase giúp tăng cường hấp thu dinh dưỡng.
Bổ sung hàm lượng lysine, kẽm giúp kích thích ăn ngon.
Các vitamin nhóm B giúp tăng khả năng chuyển hóa chất dinh dưỡng.
Bổ sung Immune-path IP giúp kích thích hệ miễn dịch, tăng trưởng hệ vi khuẩn có lợi và tăng lớp nhung mao bảo vệ đường ruột."
zenodem 100mg Cefpodoxime proxetil;zenodem 100mg ;Cefpodoxime proxetil;"Cefpodoxime được chỉ định để điều trị các nhiễm khuẩn sau đây :
- Nhiễm khuẩn hô hấp trên bao gồm viêm tai giữa cấp, viêm xoang, viêm amiđan và viêm họng.
- Viêm phổi cấp tính mắc phải trong cộng đồng.
- Nhiễm lậu cầu cấp chưa có biến chứng.
- Nhiễm khuẩn đường tiểu chưa có biến chứng.
- Nhiễm khuẩn da và cấu trúc da."
strase;strase;strase;Giảm đau, giảm viêm, sưng nề, tụ máu : Viêm cấp và mãn ở các bệnh lý tai mũi họng, mắt, răng, khớp. Viêm phần phụ. Sau chấn thương, phẫu thuật. Viêm tĩnh mạch huyết khối. Khó khăn trong khạc đờm do bệnh lý đường hô hấp và sau khi gây mê.
lisinex 5mg Levocetirizine dihydrochloride;Lisinex 5mg ;Levocetirizine dihydrochloride;"Chứng ho do họng & phế quản bị kích thích khi cảm lạnh thông thường hoặc khi hít phải các chất kích thích. Ho không đờm, mạn tính.
Liều lượng - Cách dùng
- Người lớn & trẻ > 12 tuổi: 30 mg/lần cách 6 - 8 giờ, tối đa 120 mg/24 giờ.
- Trẻ 6 - 12 tuổi: 15 mg/lần cách 6 - 8 giờ, tối đa 60 mg/24 giờ.
- Trẻ 2 - 6 tuổi: 7,5 mg/lần cách 6 - 8 giờ, tối đa 30 mg/24 giờ."
bisolvon 8mg bromhexine hcl;Bisolvon 8mg;bromhexine hcl;"Làm loãng đờm trong các bệnh phế quản phổi cấp và mạn tính có kèm theo sự tiết chất nhầy bất thường và giảm sự vận chuyển chất nhầy.  Người lớn và trẻ trên 12 tuổi: 8mg (1 viên) 3 lần mỗi ngày.
Trẻ em 6 - 12 tuổi: 4mg (1/2 viên) 3 lần mỗi ngày.
Trẻ nhỏ 2 - 6 tuổi: 4mg (1/2 viên) 2 lần mỗi ngày.
Khi bắt đầu điều trị có thể cần tăng tổng liều hàng ngày lên đến 48mg ở người lớn.
Nên thông báo cho bệnh nhân điều trị với BISOLVON về khả năng gia tăng bài tiết chất nhày.
Trong chỉ định cho bệnh hô hấp cấp tính, cần hỏi ý kiến bác sỹ nếu các triệu chứng không cải thiện hoặc xấu đi trong thời gian điều trị.
Không khuyến cáo dùng BISOLVON dạng viên nén cho trẻ dưới 2 tuổi. BISOLVON Kids dạng xi-rô phù hợp hơn với lứa tuổi này."
eldpopile 80mg thymomodulin;eldpopile 80mg ;thymomodulin;"Epidolle là thuốc thuộc nhóm tác động vào hệ thống miễn dịch và một trong những loại thuốc chống ung thư.
Thuốc được bào chế dưới dạng viên nang
Thuốc có thành phần dược chất chính là Thymomodulin với hàm lượng là 80mg và các tá dược khác vừa đủ 1 viên nang"
Fexofenadin Fefasdin 60 60mg;Fefasdin 60; Fexofenadin 60mg;"Điều trị triệu chứng viêm mũi dị ứng theo mùa

Người lớn và trẻ em trên 12 tuổi: 60mg x 2lần/ngày hoặc 180mg x 1lần/ngày. 
Bệnh nhân bị suy thận liều khởi đầu 60mg x 1lần/ngày 
Trẻ em từ 6-11 tuổi: 30mg x 2lần/ngày. 
Trẻ em bị suy thận liều khởi đầu 30mg x 1lần/ngày. 
"
Fusidic acid betamethason pesancort ;pesancort;Fusidic acid betamethason ;Các bệnh da do viêm khi xảy ra hoặc có thể xảy ra nhiễm khuẩn. Các bệnh da do viêm bao gồm chàm khu trú, chàm do ứ đọng, viêm da tiết bã, viêm da do tiếp xúc, lichen đơn mạn tính, vẩy nến & lupus đỏ dạng đĩa.
Desloratadin Neocilor 5mg;Neocilor;Desloratadin 5mg;"Viêm mũi dị ứng theo mùa:
Neocilor siro được chỉ định để giảm các triệu chứng liên quan đến mũi hoặc không liên quan đến mũi của bệnh viêm mũi dị ứng theo mùa.
Viêm mũi đị ứng quanh năm:
Neocilor siro được chỉ định để giảm nhẹ các triệu chứng liên quan đến mũi hoặc không liên quan đến mũi của bệnh viêm mũi dị ứng quanh năm.
Bệnh mày đay mãn tính tự phát:
Neocilor siro được chỉ định để giảm triệu chứng ngứa, giảm số lượng phát ban ngoài da.
"
